Project ID,Year,Year Project Number,Project Name,Document Link,Legitimacy,Website Link,Country,Topic Area,Notes,Full Abstract,Rank,Tech-Solution,,,,,,,,,,,,,,,,
2016-8,2016,8,"Agency Organization System: A Financing Model for Revolutionizing the e-Waste Recycling Business in Guiyu, China",,,,China,e-Waste Recycling,,"We observed that with the increasing popularity of electronic appliances, proper disposal has become a global concern. Unlike traditional waste, including plastics, paper packaging, and leftover food, e-waste usually includes a broad variety of materials, some of which are extremely valuable but require advanced technology to extract. Recycling costs for e-waste are extremely high, causing most producers to opt for a simple way out—ship- ping them away and disposing of them untreated.
Guiyu, where we base our research, is one of the final destinations for untreated e-waste. Pollution caused by e-waste has destroyed farmland, and people living there have had to find alternative sources of income. By using crude methods such as burning and manual dismantling, they contribute to the recycling industry, yet this process creates even more hazards to the environment and to workers. Breaking this vicious cycle is the motivation for the Agency Organization (AO) system.
We determined that the current situation is caused by a deadlock in financial inefficiency: producers ship e-waste to Guiyu merely for disposal, without any value gained; established recyclers purchase locally disman- tled parts through an exploitative “recycling business;” workers purchase necessities from vendors at an inflated cost. The AO system will address these problems in a sustainable manner.
The AO aims to replace all unnecessary “middlemen,” thus reducing financial inefficiency. It uses a step-by-step approach: first, with help from the government, it attempts to establish relationships with recyclers and local workers, better clustering both the supply and demand sides’ needs, and building a foundation for its further development.
Secondly, it organizes local workers through a membership scheme— this replaces the current freelance mode of production, and enables the AO to collect data concerning the local available workforce, as well as starting to form a systematic way of channeling e-waste to the local workers.
Thirdly, building upon the previous foundations, the AO can then work to increase the efficiency between recyclers and local workers, by provid- ing training to members, increasing their specific dismantling skills, and making them capable of specialization. At the same time, the AO would serve as a center for daily necessities, using a credit system fueled by members’ active participation in the scheme. This step replaces the mid- dleman that causes inefficiency, i.e., the vendors who supply necessities to workers.
As a final step towards making the AO a sustainable device, we pro- pose the usage of a “Green Dot” licensing scheme. End-product produc- ers who use materials recycled through the AO would be granted a license to use the “Green Dot.” The business incentive to obtain the “Green Dot” license would differ according to the ratio of materials recy- cled. If the ratio of expensive materials is higher, the “Green Dot” is intended to become a hallmark for luxury brands, signifying corporate social responsibility and awareness towards the e-waste problem; con- versely, if the ratio of ordinary materials is higher, the “Green Dot” would serve as an official proof that the producers correspond with the “Go Green” policy by the government.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2016-9,2016,9,Improving the Quality of Life for Artisans from Rural Communities through Empowerment of Women,,,,Mexico,Women Empoerment,,"During the period from 2012 to 2014, the number of poor increased in Mexico in the from 53.3 to 55.3 million, which represents an increase from
45.5 to 46.2 percent of the country’s population, according to the National Council for the Evaluation of Social Development Policy (CONEVAL 2014).
CONVEAL indicates many reasons that the number of people falling into poverty has risen:
1.        Lower revenues.
2.        Low economic growth.
3.        Population dynamics and inequality.
4.        Insufficient income to provide for basic needs
Further according to FONART (National Fund for the Development of Arts and Crafts) in Mexico there are more than 10 million people were employed in a craft or an activity related to a craft, although currently there is no national census that allows us to identify the exact number of artisans in Mexico by state.
Most of the people engaged in artisanal activity in the first quarter of 2011 had low incomes that put the artisans below the poverty line.
One of the main problems regarding Mexican crafts is the marketing process. According to Rafaela Luft Dávalos, few craftsmen export their products and there is a need to “promote a legal framework for the defense of handicrafts, mainly to combat piracy.”
We proposed to create a development program that promotes commu- nity empowerment through projects that take advantage of the wealth of communities and enable them to integrate their social fabric, improve  their income, and maintain harmony with the environment.
 

Our goals are to:
1.        Identify areas of opportunity in communities through ethnographic studies, field visits, and identification of community leaders.
2.        Work with community leaders in detecting needs and strengths of their group to be able to work toward the integration of a productive project.
3.        Design a plan of implementation where we elaborate technical feasibil- ity studies, both marketing and financial, as well as advice on structur- ing the project for searching and management of public funding for a link with social investors.
4.        Support the marketing of products made by these groups, helping to connect them to national and international markets through our social platform, bringing them closer to potential market niches.
The program will empower rural communities in states like Yucatán, Guanajuato, Querétaro and Hidalgo. It can especially help women with microenterprise development and significantly improve the income of rural communities.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2016-10,2016,10,"Reinventing Global Payment Processing for Migrant Remittances, Microenterprise Funding Infusions and Nationwide Direct Benefit Transfers (DBTs)",,,,,"Remittances,
Global Payments",,"Centralized financial systems have formed the core of international finance for decades. The obvious advantage is that a financial institution acting as counterparty adds trust, and the provision of a singular, institutionally held transaction “ledger” obviates the need for third-party authentication. However, this centralization has added costs that are passed on to end-us- ers: our proposal is an attempt to look at the value that can be added by switching to a decentralized payment processing system that can be cur- rency-neutral, scalable, robust, and built on top of a system of publicly ver- ifiable transactions. In order to understand the actual impact that such technology can provide, we look at the benefits of implementing this sys- tem for international remittances by migrants, Direct Benefit Transfers, and national subsidy schemes, and in the funding of grassroots projects by international donors.
Contextually, staggering losses—as high as 50 percent—are observed in end-to-end transmission for aid programs. Broadly, there are three sys- temic causes:
1.        Systemic corruption enabled by layered centralization;
2.        Consolidation of control/access by middlemen, and distinct informa- tion asymmetry; and
3.        Inefficiencies of transmission systems for smaller trade quanta.
The suggested implementation looks at Blockchain technology—the backbone of cryptocurrencies1 such as Bitcoin, Dogecoin and Ethereum. The efficiency offered by this technology, together with its fully traceable nature presents a unique opportunity to tackle systemic corruption, distri- bution failures, and the onerous fees levied by monopolistic payment pro- cessors. This implementation is not seen presently in a holistic form, but is built up of individual components that are well established and whose effi- cacy has been verified empirically on a local and global scale.
Beyond our proposal, the exact technical decisions will need to be explored further. Options include “forking,” which is building a custom copy of an existing cryptocurrency protocol, or building upon existing freeform systems such as Ethereum that allow programming smart con- tracts directly into the software. Since the recommendations in the pro- posal could essentially be assembled on top of existing and available platforms, the feasibility of the project is considerably high.
Given the nature of the gains made by this proposed system, it is observed that the most potential is for developing nations that often bear the brunt of institutional financial inefficiencies.
Considering the novelty of the technology discussed here, a few signifi- cant challenges pose themselves: low market depth for individual crypto- currencies mean high volatility; lack of oversight is seen as inherently threatening by global governments, who also drag their feet when it comes to unexpected jumps in technologies with far-reaching consequences.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2017-1,2017,1,Creating Kitovu: A Web/Mobile- Based Decentralized Fertilizer and Seedling Warehousing System That Increases Crop Yields in Nigeria by Matching the Right Inputs to the Right Soils,,,,Nigeria,"Agriculture,
Warehousing",,"Most of the world’s poorest people are smallholder farmers. At least 570 million farms worldwide are smallholdings, with more than 475 million of those farms owned by families who cultivate less than two hectares of land. In Nigeria, 70 percent of the working population, or about 121 million people, are farmers. In Sub-Saharan Africa as a whole, agriculture accounts for 64 percent of the labor force and 75 percent of the people who survive on less than $1 per day work in the agricultural sector. This level of poverty results primarily from very low yields, compared with global yield aver- ages, as well as from very high postharvest losses. Annual postharvest losses range between 40 percent and 60 percent, depending on the value chain being considered. After years of trying to find solutions to low crop yields, we formed the Kitovu Technology Company and developed the Kitovu platform. The Kitovu team consists of a passionate group of young people who have experience in agriculture, processing, and consultancy services within the African agricultural value chain.
The Kitovu team firmly believes that improving the use of inputs by farmers has the potential to lift millions of smallholder farmers out of pov- erty. But for that to be feasible, a system must be in place that matches the right composition and quantity of fertilizers, good quality or improved seeds, and other inputs to farms’ actual soils and sites. These practices would improve yields and consequently increase farmers’ incomes.
This report describes how the Kitovu platform solves the problem of low yields and explains the platform’s estimated effects on poverty and social well-being.
",1,Yes - Web/Mobile,,,,,,,,,,,,,,,,
2017-2,2017,2,"Reducing Breast Cancer Death Rates among Women in Uganda and Increasing the Employability of Visually Impaired Women
",,,,Uganda,"Healthcare,
Employment",,"The Gifted Hands Network turns problems into opportunities by training women who are visually impaired to conduct breast cancer examinations. As a result, women with breast cancer are more likely to receive treatment in time for full recovery, and women who are blind gain employment and social standing.
Uganda is a developing country with a population of approximately 42 million people. More than 56 percent of the population is female, and more than 85 percent live without access to good health facilities. This situation has led to significant loss of life. Good health care is needed in Uganda, but health services are very expensive and few people can afford them.
Uganda is among the African countries most affected by breast cancer. Breast cancer has increased drastically over the past 10 years. The Breast Cancer Working Group report from Makerere Medical School states that more than 30,000 women have breast cancer and more than 2,500 women die from the disease annually in the country. Dr. Fred Okuku, a medical oncologist at Mulago Hospital in Uganda, said in his medical report of 2014 that there is an additional unknown number of women dying from undiagnosed breast cancer.
 
Uganda has more than 1.6 million people who are blind. Socially, people who are blind are looked on as misfits, nonproductive people, and depen- dents. They are discriminated against and marginalized in society. More than 99.5 percent of them are not employed even though many have received rehabilitation and some are university graduates. These individu- als have a genius sense of touch that would enable them to detect breast cancer early once they have received medical training.
",2,,,,,,,,,,,,,,,,,
2017-3,2017,3,"Converting Unproductive, Waterlogged Land into Productive Fish Farming Units to Generate Sustainable Livelihoods, Provide Food Security, and Develop Critical Avenues for Economic Growth for Local Rural Communities",,,,India,"Fish Farming,
Economic Growth",,"Bihar, India, has more than 9,000 square kilometers of low-lying, water- logged wasteland. It has a population of about 130 million, 80 percent of whom are below the poverty line of US$1 a day. Of those, 15 million people belong to the fisher community, all of whom live below the poverty line and are classified by the government as an extremely backward caste. Fish is the staple diet in the region, with annual  consumption  of  fish  at US$1 billion, but Bihar suffers from a gap between demand and supply of more than 232 million kilograms of fish per year (US$390 million). To fulfill that unmet demand, Bihar is importing fish from neighboring states through unorganized channels.
Agratam India works in the state of Bihar to convert low-lying and unproductive wastelands into productive fish farming units. The project primarily aims to provide sustainable employment opportunities to the members of the extremely poor fisher community, who do not have access to a consistent and stable source of income. By aggregating the unproduc- tive parcels of land held by smallholder farmers, Agratam also provides these farmers with rental income on land from which they otherwise extract negligible value or economic returns.
Agratam’s aim is to use existing natural resources in an economically productive and sustainable manner to create income-generating opportu- nities for the poorest sections of the community.1 The holistic model focuses on converting unproductive land mass into profit-generating assets, thereby creating employment, stabilizing incomes, developing skills, and addressing food security and malnutrition, all of which contribute to the sustainable development of underserved rural communities.
",3,,,,,,,,,,,,,,,,,
2017-4,2017,4,"Encouraging Volunteerism Using a Proprietary Digital-Currency Incentive
",,,,US,"Volunterism,
Digital currency",,"Project Forward is an innovative, self-sustaining, and social currency– backed ecosystem that allows not-for-profit organizations to indirectly incentivize volunteers. At its core, Project Forward facilitates the moneti- zation of volunteer hours through a proprietary digital currency.
Within the United States alone, there is a stark drop-off in the rates of volunteerism. In the past 12 years volunteer rates fell from 28.8 percent in 2003 to 24.9 percent in 2015 (U.S. Bureau of Labor Statistics 2003; U.S. Bureau of Labor Statistics 2016). While there are several theories as to why the rate of volunteerism is declining, it is clear that not-for-profit organiza- tions are having less success encouraging people to engage and become more active in their communities. To cultivate meaningful and long lasting engagement, organizations that rely on volunteers must entertain the thought of creating a more comprehensive incentive.
The use of digital currencies continues to increase. Technology has cre- ated the next wave of transactional components that banks and individuals alike have begun to adopt: a new medium of exchange involving digital wallets and smart contracts. To expand this usage and create something that will yield a better value structure, Project Forward has married two vitally beneficial functions. Millennials especially will now be able to obtain the skills required to conduct business in this new era of technology while also giving back. What was once considered an elusive part of the technol- ogy world will instead aid the future of positive social impact.
",4,,,,,,,,,,,,,,,,,
2017-5,2017,5,Portable Toilet Solution: Sustainable Sanitation for the Base of the Pyramid,,,,Philiippines,Toilets,,"Sanitation means more than just the improvement of health and well-being of people. It is an avenue that uplifts human dignity. Given its importance, sanitation should be available and accessible to all; no one should lack proper sanitation. An elixir to the many challenges the world is facing, sanitation is a right and a responsibility of all.
Most Filipinos who belong to the base of the pyramid (BoP) openly defecate in the fields, bushes, and seashores, which poses a wide range of risks to human health and the environment. To help those low-income communities gain access to proper sanitation, Team SAVE proposes to provide them with portable sanitation units. The Portable Toilet Solution (PTS), which is based on a utility business model, depends on two levels of cross-subsidies: (a) between the water supply and sanitation services and (b) across customer classes, to make the system available and afford- able for all.
To ensure sustainability of the program and address the lack of aware- ness about the importance of sanitation, the program must be a collabora- tion between the public and private sectors and should involve the target communities.
The proposal will be piloted in the province of Laguna. The program’s implementation will benefit from the existing public-private partnership between the provincial government of Laguna and Laguna Water, a water and wastewater service provider. The program can then be replicated and scaled up elsewhere in the Philippines and in other developing countries.
",5,,,,,,,,,,,,,,,,,
2017-6,2017,6,A Socio-productive Model for Entrepreneurial Education and the Promotion of Business Activity for Women Who Are Victims of Armed Conflict,,,,Colombia,Women Empoerment,,"The nonprofit foundation She-Is empowers women by recognizing their peace entrepreneurship and acknowledging their very essence as entrepre- neurs. She-Is strengthens productive units through its social brand that promotes the efforts, worth, and representation of women who have been directly affected by armed conflict and who face challenging life situations as a result of the violence they have endured.
She-Is implements a socio-productive model of entrepreneurial educa- tion and promotes business activity for women who are survivors of armed conflict. In Colombia, the She-Is foundation and its campaign is the first of its kind, with a social brand that seeks to champion women in postconflict situations as successful entrepreneurs by harnessing women’s knowledge to positively impact the peace process. This innovative model harmonizes the social brand with an approach that emphasizes soft skills and company start-ups. This model also establishes a pattern for meeting sustainable development goals through economic empowerment.
",6,,,,,,,,,,,,,,,,,
2017-7,2017,7,Commodity Bonds: A Practical Solution to Crisis Vulnerability in Commodity- Dependent Developing Countries,,,,,Bonds,,"Over two-thirds of developing countries’ economies are highly dependent on commodities. These Commodity Dependent Developing Countries (CDDCs) face lower long-term growth prospects and higher risks of enter- ing and remaining in international debt crises. Commodity bonds—bond contracts with coupon payments linked to the price of a country’s main commodity export—are an efficient way of promoting crisis resilience in CDDCs. The idea of commodity bonds is not new. However, commodity bond markets never achieved enough scale to become a viable option for CDDCs.
Here we review past experience, identify barriers to adoption, and pro- pose a novel arrangement to overcome these challenges. In our solution, the World Bank plays an important role in disentangling sovereign risk from commodity risk, making the commodity bond market more attrac- tive to both debt issuing countries and private sector lenders. We illustrate the proposal with an application to Mongolia—a country with over 40 per- cent of export revenue from copper alone. Finally, we present a practical implementation plan to create a large, liquid commodity bond market that would present a new option for CDDCs to increase economic resilience and enhance long-term growth.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2017-8,2017,8,Filling the Credit Gap: Improving SME Accounting Standards and Data Collection in India,,,,,,,"The growth of small and medium-sized enterprises (SMEs) is critical to the overall economic growth of developing nations. However, many businesses in developing economies do not have sufficient access to the financing they need—they often lack both the financial data and the collateral necessary to acquire loans. Alternative lending, which takes advantage of nontradi- tional data sources, has the potential to mitigate this issue. However, surveys of alternative lenders suggest that a lack of proper accounting data currently hinders the ability of SMEs to obtain financing from these lend- ers. Consequently, alternative lending has yet to make a meaningful dent in the current SME credit gap.
To address this issue, the DataRISE team proposes a comprehensive, dual-platform solution available to both SMEs and alternative lenders. This system would take advantage of existing digital payment infrastructure to greatly improve accounting practices for SMEs and make these data readily available to alternative lenders, thereby reducing customer acquisition costs and enabling greater scale. By better connecting previously excluded businesses to lenders, our platform has the potential to boost SME growth in developing nations around the world. Currently, recent developments and economic conditions in India make the country an optimal environ- ment to implement our solution. Eventually, this service can expand to other emerging markets.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2017-9,2017,9,Innovative Solutions to a Sustainable Blood Supply Chain Management System: A Technology-Driven Donor Management System in Nigeria,,,,Nigeria,"Supplychain,
Healthcare",,"The use of blood and blood products has become an integral part of mod- ern medical practice globally, with about 108 million pints of blood uti- lized per annum. Every country needs a regular and safe mechanism for the supply of blood. A World Health Organization World Blood Donor Day Report in 2013 stated that in low-income countries, there is a huge demand for blood transfusion, mostly occasioned by complications in pregnancy or in children under age five who suffer from anemia.
Haima Health Initiative (HHI) is deploying mobile and web technology to build a sustainable blood supply chain system in Nigeria, hence mobiliz- ing efforts toward meeting Nigeria’s annual blood requirement of 1.4–1.7 million pints. Currently, Nigeria faces a 62 percent deficit in needed blood supplies.
This project has developed a digital blood bank with an online database of viable, voluntary, unremunerated blood donors who are connected to patients in times of emergency. It provides an excellent opportunity for scale, health sustainability, economic advancement, and public sector and private sector collaboration.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2017-10,2017,10,"Wicked Problems, Simple Solutions, and a New Generation of Changemakers",,,,,Skills,"- This idea explores the development of a symbiotic relationship between communities and universities to aid in achieving the sustainable develop- ment goals.
- We propose that universities adopt local communities as study areas for their students’ final-year projects.
- This sounds very similiar to the skills gap idea for Skills Nigeria.","Achieving the United Nations’ sustainable development goals is a mam- moth task that requires cooperation among different disciplines, struc- tured classical solutions, and new out-of-the-box approaches. In addition to setting up new organizations to meet set targets, changemakers must reorganize existing systems by identifying elements that can work together to benefit the multiple stakeholders involved. Our proposed framework aims to improve the chances of achieving the sustainable development goals by adding more helping hands to the fight while, in the process, train- ing an entire generation of future changemakers.
This idea explores the development of a symbiotic relationship between communities and universities to aid in achieving the sustainable develop- ment goals. We propose that universities adopt local communities as study areas for their students’ final-year projects. The sustainable development goals will guide the definition of the project objectives. Local communities will serve as multifaceted, cross-disciplinary case studies and benefit from the completed projects. The educated, young, and ambitious students will obtain the chance to experience real-world problems, and the university will gain local expertise and data sets that enable further sophisticated problem solving. The data collected during the course of these projects will enable efficiency measurement, performance quantification, and priority identification. This, in turn, will aid in the reassessment of objectives and will facilitate improvement in the effectiveness of funding allocation.
The feasibility and scalability of the idea are explored in more detail in the proposal. Discussions include the stakeholder management frame- work, scale-up strategy, incentivization program for private investors, a funding strategy, and means to address potential “soft” problems that may surface during the implementation.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2018-1,2018,1,"The Implementation of Advanced Water Treatment Technology in Aquaculture to Ensure Sustainable Development for World Food Security
",,,,,"Agriculture,
Food security",,"Two-thirds of the people in Asia are undernourished, according to World Food Programme (WFP 2015). The Association of Southeast Asian Nations (ASEAN), a major contributor to aquaculture and to the produc- tion of fish, has a large role in addressing food security and malnutrition in the region. To address these issues, ASEAN has set a goal to increase the supply of farmed ?sh produced in the region from the current 10 million tons to more than 15 million tons by 2030. The current challenges the fish farming industry faces in meeting this goal include the availabil- ity of land for fisheries and the availability of fresh water. With these chal- lenges in mind, we developed MINO Microbubble Technology, an advanced water treatment technology that increases the amount of dis- solved oxygen in water by up to 7 parts per million (ppm). Fish farmers using this technology have up to a 40 percent increase in ?sh yield. We think the MINO Microbubble Technology will help ASEAN attain the goal of 15 million tons of farmed ?sh by 2030 (See figure 1.1). In doing so, ASEAN could meet the United Nations Sustainable Development Goals (SDGs) to end hunger and achieve food security.",1,,,,,,,,,,,,,,,,,
2018-2,2018,2,"Starlight: A Start-Up Company Based in Rwanda That Aims to End the Use of Kerosene Lamps in Rural Villages by Providing Solar-Powered Lanterns to These Communities and by Rolling Out a STEM Program That Empowers Female Students
",,,,Rwanda,"Women Empoerment,
STEM,
Solar",,"Rwanda’s population has more than doubled over the past decade and is expected to reach 16 million by 2032 (National Institute of Statistics of Rwanda 2017). This population growth means that more people will need access to affordable energy to light their homes and streets, to use phones and computers, and to conduct business. At issue is how that energy should be produced—fossil fuels and greenhouse gas emissions are making dras- tic changes in the climate, leading to big problems.
Government data show that Rwanda’s national electrification rate has reached 41 percent (11 percent off-grid, 30 percent on-grid). Over 7 million people still lack access to electricity. The government is targeting 100 per- cent electricity access by 2024. To reach this target, off-grid solutions will be used in remote areas, far from the on-grid network. (Rwanda Development Board 2018). According to the Economic Development and Poverty Reduction Strategy II (EDPRS2), the government was targeting 70 percent rural households with access to electricity (MINECOFIN 2013). (The government has not met this goal).
We believe solar energy is the way to provide greater access to affordable, clean energy. And Rwanda must harness the power of its youth (68.7 per- cent of the country’s population was below the age of 30 in 2015) to figure out how to increase access to this energy (National Institute of Statistics of Rwanda 2017). As a social enterprise, Starlight started a STEM initiative in high schools to encourage students to explore circuitry and to develop technical skills, with the hope to empower Rwanda’s youth (and especially young women) to become a part of the solution.
Our STEM program and our products play a big role in the eradication of poverty through advancements in health, education, industrialization, and combating climate change. The Starlight team’s mission is to empower people by providing them access to light.
This report describes how Starlight can ensure access to affordable energy in rural villages and how Starlight’s initiative can empower Rwanda’s youth to make change happen.
",2,,,,,,,,,,,,,,,,,
2018-3,2018,3,Automated Legal Document Generation: Empowering MENA Women to Exercise Their Legal Right,,,,,"Women Empoerment,
Legal",,"During the past several decades, the world has seen improvements in legal gender parity, but the full adoption and application of women’s rights remains unseen. Although gender inequality is a global problem, women in the Middle East and North Africa (MENA) face greater gender inequal- ity than their counterparts in other parts of the world. According to the World Bank’s Women, Business and the Law report, over the last four years, MENA has implemented only 23 out of 181 global reforms toward increas- ing women’s opportunities (WBG 2018a). On average, MENA performs worse than any other region across most of the report’s indicators measur- ing women’s agency. MENA countries continue to reform regulations to improve gender equality but laws can only go so far. When it comes to enabling women’s full economic, political, and social participation, many women are faced with barriers such as lack of financial resources, lack of know-how, and fear of retaliation should they exercise their rights. Amal, a new legal software program and platform, is proposed as a contributory solution for “achiev[ing] gender equality and empower[ing] all women and girls.” (United Nations 2015) Women in MENA countries can use Amal to learn more about the legal rights granted to them in their country of resi- dence and to secure and submit the documentation needed to gain access to these basic rights. Such rights are crucial for women to further their economic, educational, and social opportunities.",3,,,,,,,,,,,,,,,,,
2018-4,2018,4,Crowdfunding Can Serve as a Pathway to Higher Education,,,,,Education,,"The Al-Derb platform1 provides a way for individual and group funding (crowdfunding) to help young people obtain grants for high-quality online education and training courses offered by universities and training centers. The availability of high-quality education in the Arab world is low, which affects the development of young people’s potential and limits their oppor- tunities in the job market. As a result of the crises and wars that have occurred in the region, many young people do not have opportunities to obtain formal continuing education or to develop their skills; and for most of them, the high cost of education in developed countries is prohibitive. But as the digital world advances, solutions to these problems can be found. Digital universities provide high-quality courses that are open to stu- dents around the world, and such institutions help bridge the gap between education levels and provide equal opportunities for a good education to all students and young people. By offering such courses online, digital universities offer large numbers of people access to education worldwide.
This past year, the Al-Derb team members have noted in youth seminar discussions that young people are enthusiastic about the educational oppor- tunities available online, but many find it difficult to pay for enrolling in courses. Although the fees are relatively low for those in developed coun- tries, the economic situation and low levels of income in the Arab world—in addition to lack of access to electronic payment—have made it impossible for many young people to take advantage of those opportunities.
",4,,,,,,,,,,,,,,,,,
2018-5,2018,5,Ensuring Food Safety in China and Beyond through Blockchain Technology,,,,China,"Food Security,
Blockchain",,"Addressing food safety is not only a serious global health issue but also an important step to sustainable development. As the world becomes more interconnected, the global food supply chain is exposed to a greater num- ber of possible threats. With more than 20,000 foodborne diseases reported each year, China has made it a priority to safeguard its food security (Lam et al. 2013).
We believe a digital ledger system known as blockchain technology is the most effective solution in tackling the issues of food safety and food fraud. The transparency and traceability of blockchain technology connects all parties (producers, retailers, consumers) in the blockchain network and ensures an improved food supply chain. In addition, the implementation of blockchain technology will have positive ripple effects on growth and development.
",5,,,,,,,,,,,,,,,,,
2018-6,2018,6,Concrete from Plastics? Preserve Natural Resources and Produce Sustainable Construction Materials,,,,,"Enviroment,
Construction",,"Every year, more than 8 million metric tons of plastic are deposited into the ocean, the equivalent of emptying a garbage truck full of plastic every min- ute into the ocean (World Economic Forum 2016).
The construction sector is responsible for 40 percent of the virgin mate- rials extracted from the earth, 40 percent of the energy consumed on earth (including energy in use), 20–30 percent of total greenhouse gas emissions, and 50 percent of the total waste generated (UNEP-SBCI 2014).
The construction sector’s exploitation of sand and gravel, which are non- renewable resources, represents the largest volume of material extraction worldwide after water. The carbon dioxide emissions generated by the extraction and the transport of sand and gravel affect biodiversity, water turbidity, erosion of the earth’s crust, and the climate (UNEP 2014).
According to the United Nations’ Environment Program, to mitigate these problems, it is necessary to do the following:
•        Reduce the consumption of sand or gravel; optimize existing infra- structures, recycle concrete debris, or use alternative construction materials such as wood.
•        Establish taxes on the extraction of sand and gravel to encourage the use of economically viable alternatives.
•        Reduce the negative effects of extraction: adapt the extraction rate to the rate of renewal of resources and establish an acceptable extraction limit.
 

To reduce the exploitation of sand and gravel, we propose that the con- struction industry use polyethylene terephthalate (PET), which is a plastic, instead of gravel, to manufacture concrete.
With ROCAPET, PET is used as a coarse aggregate for the manufacture of concrete. Replacing a minor percentage of gravel with PET in the man- ufacturing process reduces the annual tonnage of postconsumption PET, preserves a natural resource, and produces a sustainable concrete with lower volumetric weight. This method also reduces the cost of manufactur- ing ready-mix concrete and benefits the environment.
With ROCAPET, it is possible to produce concrete for structural use. Using PET as a minor percentage to the gravel makes the concrete’s resis- tance go from f’c = 250 kg / cm² to f’c = 350 kg / cm², which fulfills the quality requirements of workability (slump), compression, bending, and temperature. In addition, the following results are attained:
•        Slump from 10 to 18 cm
•        Compression resistance: ƒ’c = 150 to 350 kg / cm²
•        Resistance to bending: MR = 41–52 kg / cm²
•        Resistance equal to a traditional concrete subjected to temperatures up to 280° C
The product is suitable for structural use in office buildings, sports facil- ities, housing, and singular constructions.
We must note that these tests are preliminary and that we are still testing new materials to replace the stone aggregates (gravel and sand) because we have not been able to replicate the results from the first tests. We will con- tinue working to optimize the results.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2018-7,2018,7,Effort Provides Sustainable Energy by Turning Biomass to Charcoal in Tanzania,,,,Tanzania,Energy,,"Wood and charcoal are major sources of domestic energy in Tanzania. According to the Tanzania Forest Services Agency, 350,000 to 400,000 hectares (915,000 acres) of forest are harvested each year in Tanzania, mainly for fuel. Studies indicate that about 70 percent of the charcoal pro- duced in the country is sold in the city of Dar es Salaam. Residents of the city have access to both electricity and gas for fuel; however, gas is not a popular option (at least to the majority of Dar es Salaam residents). In Dar es Salaam, about 300,000 bags of charcoal are used daily, the effects of which pose a major threat to the environment in Tanzania.
With these challenges in mind, Green Power Group designed an alterna- tive source of domestic energy. We created a simple electric machine with the capacity to produce 3.5 tons of charcoal briquettes per day. Our product, called MKAA WA IDRIS, is a carbonized charcoal briquette that is manufac- tured from biomass wastes such as peanut shells, rice husks, coconut shells, sawdust, and other agricultural byproducts. In Tanzania, 85 percent of waste comes from the agricultural sector, mainly food and postharvest waste.
Many middle- and low-income families use charcoal as their primary cooking fuel in Tanzania, especially in rural areas. This puts tremendous stress on the environment. By providing these families with access to an alternative source of domestic energy, such as MKAA WA IDRIS, we would contribute to the fight against climate change, as described in goal 13 of the United Nations’ Sustainable Development Goals (SDGs).
Our innovation is more than just the production of charcoal briquettes; it is a contribution to environmental conservation. The protection and conservation of our natural environment is the cornerstone for the future of humanity. We are passionate in environmental conservation and we use our social media and other platforms not only for customer acquisition but also to advocate for environmental conservation. We encourage young people to use adaptive technology available online to create sustainable solutions for environmental challenges and to create more job opportuni- ties in Tanzania and Africa.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
2018-8,2018,8,"In Ghana, Data Analytics Will Match Business Enterprises with Lending Institutions",,,,Ghana,"Data Analytics,
Lending",,"Credit Locus is a virtual platform that matches credit-seeking micro, small, and medium enterprises (MSMEs) in Ghana with lending institutions. For lenders, it is a customer onboarding channel that offers more precision and efficiency in acquiring “qualified” borrowers. For microbusiness owners, this platform offers access to tailored credit facilities as well as to share power with lenders by allowing them to choose which loan offer to accept. The platform uses traditional and alternative data to create a hybrid score- card that serves as an efficient alternative to traditional credit appraisal mechanisms. It prioritizes a lending model (supply-chain financing) that ensures that loan defaults are minimized, especially the ones that are induced by diverted funds. Shrewd data analytics on the platform also reduce the loan turnaround time as the volume of lending increases.
Comprehensive research conducted by the Credit Locus team indicated that financial institutions constantly develop cold feet when varying their credit appraisal process to suit the needs and structure of MSMEs. However, with the formal lending market gradually becoming saturated in Ghana and with nonperforming loans hitting the roof, lenders are on the lookout for ways to enter the informal market, which has great potential for returns but disproportionate market data. The solution we came up with, Credit Locus, intends to bridge this gap by focusing on complementarity rather than disruption. In essence, we are not replacing the traditional system but providing an answer to the often-asked question: How can we improve it? We have built a balanced team to suit the impending demands of run- ning this business. With solid individual backgrounds in software develop- ment, social entrepreneurship, and investment banking, coupled with our collective desire for continuous learning and lifting others, the team is well equipped to execute every mandate we have set for ourselves. In carrying out our work, we will generate credit footprints for microbusinesses, which
is essential to create an all-inclusive financial sector in Ghana.
",NA - Honourable mention,,,,,,,,,,,,,,,,,
